article_id,portal,tone,framing,balance,political_lean,dominant_actor
ART0406,Portal E,-1,odgovornost,0,pro_gradjanska_opcija,actor_012
ART0407,Portal B,1,nacionalni,0,pro_bosnjacka_opcija,actor_055
ART0408,Portal D,-1,odgovornost,0,neutralan,actor_055
ART0409,Portal D,-1,konflikt,1,neutralan,actor_040
ART0410,Portal E,2,odgovornost,0,pro_gradjanska_opcija,actor_020
ART0411,Portal B,-2,nacionalni,1,pro_gradjanska_opcija,actor_027
ART0412,Portal B,1,konflikt,0,pro_vlast,actor_037
ART0413,Portal D,0,proceduralni,2,pro_srpska_opcija,actor_064
ART0414,Portal E,-1,nacionalni,0,pro_hrvatska_opcija,actor_005
ART0415,Portal C,-1,nacionalni,0,neutralan,actor_006
ART0416,Portal B,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0417,Portal E,1,proceduralni,0,pro_vlast,actor_040
ART0418,Portal B,0,proceduralni,0,neutralan,actor_049
ART0419,Portal D,-1,konflikt,1,neutralan,actor_030
ART0420,Portal B,-2,konflikt,0,pro_vlast,actor_057
ART0421,Portal B,0,proceduralni,0,neutralan,actor_019
ART0422,Portal C,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0423,Portal C,0,nacionalni,0,pro_hrvatska_opcija,actor_027
ART0424,Portal A,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0425,Portal E,2,proceduralni,0,pro_gradjanska_opcija,actor_015
ART0426,Portal B,1,neutralan,0,pro_srpska_opcija,actor_027
ART0427,Portal A,2,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0428,Portal E,2,ekonomski,0,pro_vlast,actor_039
ART0429,Portal D,1,proceduralni,2,neutralan,actor_031
ART0430,Portal B,0,proceduralni,0,neutralan,actor_009
ART0431,Portal E,1,nacionalni,1,pro_hrvatska_opcija,actor_005
ART0432,Portal B,-1,konflikt,0,pro_opozicija,actor_030
ART0433,Portal E,0,nacionalni,0,pro_srpska_opcija,actor_004
ART0434,Portal A,-1,proceduralni,0,neutralan,actor_055
ART0435,Portal E,1,proceduralni,2,neutralan,actor_020
ART0436,Portal C,0,proceduralni,0,neutralan,actor_049
ART0437,Portal C,1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0438,Portal E,1,odgovornost,0,neutralan,actor_055
ART0439,Portal B,-2,nacionalni,0,pro_hrvatska_opcija,actor_044
ART0440,Portal E,-1,ekonomski,0,neutralan,actor_055
ART0441,Portal A,-1,proceduralni,1,pro_gradjanska_opcija,actor_027
ART0442,Portal B,1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0443,Portal C,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0444,Portal E,-2,neutralan,0,pro_gradjanska_opcija,actor_055
ART0445,Portal A,1,nacionalni,0,neutralan,actor_027
ART0446,Portal D,0,proceduralni,1,pro_srpska_opcija,actor_027
ART0447,Portal E,-1,proceduralni,0,pro_gradjanska_opcija,actor_018
ART0448,Portal A,1,ekonomski,0,pro_bosnjacka_opcija,actor_063
ART0449,Portal E,-1,proceduralni,1,pro_opozicija,actor_004
ART0450,Portal C,1,odgovornost,0,pro_hrvatska_opcija,actor_040
ART0451,Portal C,-1,odgovornost,0,pro_opozicija,actor_017
ART0452,Portal E,-2,nacionalni,0,pro_gradjanska_opcija,actor_004
ART0453,Portal A,-2,konflikt,0,pro_opozicija,actor_027
ART0454,Portal B,1,ekonomski,0,pro_vlast,actor_055
ART0455,Portal A,1,neutralan,0,pro_hrvatska_opcija,actor_040
ART0456,Portal D,2,ekonomski,0,pro_vlast,actor_043
ART0457,Portal B,-2,odgovornost,0,pro_opozicija,actor_017
ART0458,Portal E,1,odgovornost,0,pro_vlast,actor_039
